X_nm,Y_nm,Z_compact,Z_exploded,Layer,Fitted_Peak_Brightness_au
6.925745059796919,6.729995029848289,8.0,14.4,1,105.46076206001024
7.56213702105409,8.068729044805886,8.0,14.4,1,112.44582483273292
6.106380020206322,7.960166224772188,8.0,14.4,1,82.21687751115026
8.321765821384602,8.645388409127177,8.0,14.4,1,64.94629380028877
7.284900011422003,7.347205126892843,8.0,14.4,1,66.706593641427
8.976270916746167,7.664117142915031,8.0,14.4,1,92.4711484779773
8.7462123722708,9.376740062643098,8.0,14.4,1,63.955388158758446
9.016757788224432,8.955895510700781,8.0,14.4,1,68.53541773470262
10.156054811042193,9.300978498558464,8.0,14.4,1,111.04720604583372
7.955588644060957,7.05658920575929,8.0,14.4,1,55.59698080045449
7.5601359460006545,6.847301992949864,8.0,14.4,1,99.64198905221572
7.959018213623269,8.64385931804944,8.0,14.4,1,58.52743868223251
8.32889389085082,9.600491969848695,8.0,14.4,1,69.85140415561783
5.965709800856904,8.129730259321265,8.0,14.4,1,82.42107453739311
7.182136477834478,7.91542019355788,8.0,14.4,1,92.487733632844
9.03432420564452,7.051064828820361,8.0,14.4,1,91.74194189840932
8.987422446119963,8.09295520281874,8.0,14.4,1,68.75862847689876
8.071556077370328,7.221573469634817,8.0,14.4,1,94.7879944789462
9.017799049904042,9.77821455219182,8.0,14.4,1,39.09853764943912
8.22299340614844,9.81052459121888,8.0,14.4,1,71.84028640324948
8.354253828304977,7.9894292774050335,8.0,14.4,1,90.53713580812092
8.60662313175118,9.5891034859,8.0,14.4,1,46.32461216277677
7.186235442205279,6.6784660767531765,8.0,14.4,1,60.74116265317122
8.614807735599351,7.036869973302282,8.0,14.4,1,48.54753509422783
9.408648366018642,9.894207412645958,8.0,14.4,1,77.65268685000294
9.3613338069,7.883165021059601,8.0,14.4,1,57.57953263110542
8.599477727636005,9.971755407350432,8.0,14.4,1,64.85637103196353
8.766255159337641,8.974688130256594,8.0,14.4,1,62.698091079130606
7.022098605314569,8.081536682808723,8.0,14.4,1,70.94914225959073
8.238513891017332,8.61204641142001,8.0,14.4,1,55.06423747476591
8.369078393251558,9.183873238508506,8.0,14.4,1,58.91688265806498
6.219556663953381,7.723008077077431,8.0,14.4,1,85.22947889496818
7.036385393507693,6.50511776980428,8.0,14.4,1,67.77448547128047
6.798924918150002,6.523756160575547,8.0,14.4,1,51.35360593122661
9.6802113575,9.48057968785416,8.0,14.4,1,66.07514057265186
9.270358727408926,9.147454229711837,8.0,14.4,1,53.64908566430727
8.897030614192465,9.98185814486656,8.0,14.4,1,40.00160684964308
9.144619574632951,9.11394412012847,8.0,14.4,1,108.21402509558794
7.789723021800001,10.474519763924135,8.0,14.4,1,57.5632315223118
9.750595005670982,8.429179671292616,8.0,14.4,1,63.81704390760008
9.28161441925,8.53525193665747,8.0,14.4,1,37.92820929664622
8.857409955130112,10.389588736103086,8.0,14.4,1,35.773227518920656
6.118140367040293,7.561939904267027,8.0,14.4,1,95.44529139686304
9.825690302529331,7.492728330985749,8.0,14.4,1,49.49136740780594
7.982801726014766,8.244120120183474,8.0,14.4,1,93.02835546623076
7.440647467389732,7.505303610488173,8.0,14.4,1,71.47323064591988
7.967869321117111,7.462253620289475,8.0,14.4,1,61.82906552343281
9.154978392688331,10.021865876,8.0,14.4,1,42.08888171830955
6.877661977940429,10.183468567259087,8.0,14.4,1,88.55111184214087
8.323012943100277,8.326062766657968,8.0,14.4,1,61.35457514519497
9.429641105043304,7.733165348097217,8.0,14.4,1,56.56951031079687
8.755917211452216,8.158579649369253,8.0,14.4,1,69.4398468194592
8.511115251779803,8.585554214846484,8.0,14.4,1,42.415229116474094
8.86342051626175,8.373099038179898,8.0,14.4,1,44.26145798709686
8.700801737799999,7.346977817909481,8.0,14.4,1,66.29297216906406
8.445176195892884,6.525233811468995,8.0,14.4,1,67.54199633964696
10.1585276834,8.930683892544362,8.0,14.4,1,42.80365158405824
9.419299943262333,8.736799027675906,8.0,14.4,1,41.78540646276901
7.416252126773157,8.985513836549998,8.0,14.4,1,41.90381732951795
8.729631433470265,8.427478123000002,8.0,14.4,1,39.49604699598151
10.218171751459112,7.447487878410557,8.0,14.4,1,99.93224306198375
8.502367528296144,8.17253739894447,8.0,14.4,1,74.30227878597789
9.812532762745564,8.894405964949998,8.0,14.4,1,48.14535957660839
8.895216255874077,7.191499739501321,8.0,14.4,1,68.74330414322817
8.463782693237038,8.438659444916864,8.0,14.4,1,70.34757195078272
9.116488124913618,7.9042646114830575,8.0,14.4,1,59.43188211998552
9.525413582432533,6.819026179023649,8.0,14.4,1,119.4267848389809
6.125550110930754,7.171005306251857,8.0,14.4,1,75.68500710979312
9.934502998775397,8.108600572400002,8.0,14.4,1,32.767888943964635
6.3707104483501,6.743979425058472,8.0,14.4,1,46.69742416767181
9.018661687407771,10.170564950061886,8.0,14.4,1,47.76420717076079
7.700602768857185,7.059276131402165,8.0,14.4,1,85.77446574832896
9.482312936552235,7.264880445875071,8.0,14.4,1,76.17532240950597
7.79608664618274,6.356852279714295,8.0,14.4,1,46.311872285828784
6.877186495116528,7.102522161451961,8.0,14.4,1,71.06860305282723
8.749299832412266,7.7602965937704385,8.0,14.4,1,102.80842327828556
9.908000364097925,9.52777752412111,8.0,14.4,1,36.87007736817554
8.63006767643861,8.810786206575694,8.0,14.4,1,55.00241914389044
9.05128764609274,9.357263694457918,8.0,14.4,1,42.6598309697695
10.340743426599811,8.127861725786001,8.0,14.4,1,89.5719470199478
9.890053030493846,9.338556839,8.0,14.4,1,32.833325916895696
7.538520811021271,6.447070041465234,8.0,14.4,1,52.26027590660385
8.734064388646205,8.71716558877161,8.0,14.4,1,103.00002104933368
7.853845941360132,6.456545902752866,8.0,14.4,1,25.3261605600128
8.782750584902896,7.004967830614938,8.0,14.4,1,81.77429560084695
9.136618715845906,9.35042007414937,8.0,14.4,1,65.86411324382173
6.62971253498951,6.7190071780246745,8.0,14.4,1,56.143940929060825
9.729846719091068,9.155508743487587,8.0,14.4,1,44.68174035302619
10.005948653908174,8.023526283377326,8.0,14.4,1,30.526185667382087
8.207439287117456,8.46786081213152,8.0,14.4,1,46.369981767155046
8.914551549296169,8.78052112545,8.0,14.4,1,41.9283570871836
6.692788918839231,6.351090029760536,8.0,14.4,1,84.06801243844072
8.967025174644183,7.934567368830853,8.0,14.4,1,55.25238327697397
8.996893460105062,10.32935494265,8.0,14.4,1,23.470451388276494
10.021357161196908,7.596118794649999,8.0,14.4,1,51.40149231983439
7.024566827898067,10.16991616735,8.0,14.4,1,46.51721594179696
9.969135050516586,7.303827902458053,8.0,14.4,1,47.85468588500717
7.994366694670666,6.678896312862376,8.0,14.4,1,69.01876000589809
8.639862289259776,7.207274758685354,8.0,14.4,1,92.34035746089025
10.14197719338542,7.118191959572308,8.0,14.4,1,90.151999154146
9.867450669544606,8.541013605122416,8.0,14.4,1,38.71465685726374
9.249361660609498,7.270478664334846,8.0,14.4,1,42.19101635769758
9.659486890922963,9.943887983512315,8.0,14.4,1,65.31291791179045
8.99286209720759,8.823625525037922,8.0,14.4,1,43.00994325416258
9.88950159773388,8.2321830396833,8.0,14.4,1,72.1225581392962
8.074435120550017,7.998545998005001,8.0,14.4,1,56.33918884973276
9.533610185986596,9.563826120282055,8.0,14.4,1,49.13891176729382
8.699492021605606,8.375712228242138,8.0,14.4,1,62.11426081923266
10.301278211989672,8.337953968690739,8.0,14.4,1,61.15511728220301
9.585503107313665,7.517252810775821,8.0,14.4,1,88.85016074184684
8.668529852072712,6.513133204223087,8.0,14.4,1,36.42036219438009
8.74564875873114,9.214036657543804,8.0,14.4,1,37.46528184740279
9.394726426138147,8.591511779813317,8.0,14.4,1,31.533092515621085
7.398787553808122,6.657428704444181,8.0,14.4,1,82.1530563643699
9.251462554538872,8.074435120550023,8.0,14.4,1,39.05044548037914
9.383183902056448,7.458411900471928,8.0,14.4,1,37.46982388405138
8.876242492493827,6.8591031079516345,8.0,14.4,1,69.29123937513715
9.682132990425671,8.750530513504986,8.0,14.4,1,28.033616893030235
6.937002470517338,6.333290590426203,8.0,14.4,1,36.67783919268032
8.426055468388666,6.907787424113167,8.0,14.4,1,58.81319041616273
8.483300159326605,6.9265149077588015,8.0,14.4,1,59.96347238097072
8.904951191259764,6.536555437376926,8.0,14.4,1,50.90385162421361
9.460081561029126,9.213993703720051,8.0,14.4,1,51.51217946425586
9.743146335042129,6.924198241599999,8.0,14.4,1,41.09394172269798
7.056093314844273,8.165542992150002,8.0,14.4,1,43.1473176515888
9.004706983957535,8.734967189649998,8.0,14.4,1,30.76749124162801
7.803509382671324,9.936333765885378,8.0,14.4,1,69.41816470737518
9.46047368342425,6.93192631660204,8.0,14.4,1,76.31165974078849
9.786378622710862,7.174744888499999,8.0,14.4,1,32.940559791077504
8.47589645923703,7.203692824383415,8.0,14.4,1,68.89544449107353
9.67281466441057,7.764881884335534,8.0,14.4,1,28.500469050730075
7.913027566221467,10.47980356304332,8.0,14.4,1,52.730627483180605
8.76956918989623,7.425291535400001,8.0,14.4,1,59.90111745852572
9.289361629798192,10.16237140948776,8.0,14.4,1,38.59321232259372
8.462925673210545,7.366951000118898,8.0,14.4,1,70.06114811626234
8.87162899705001,6.304732282648224,8.0,14.4,1,70.16225865220866
9.286338241236304,9.398898403303727,8.0,14.4,1,42.97431120301876
8.34714761740723,7.198179671771999,8.0,14.4,1,51.53936766408636
7.724099243027624,6.668132866094711,8.0,14.4,1,89.71509587298604
10.407941939608271,7.965428016613643,8.0,14.4,1,97.32428589245102
8.997313697046467,8.380628128425474,8.0,14.4,1,59.63652058517954
9.383881108320177,6.304170126525438,8.0,14.4,1,52.83697298076056
8.380377104240793,6.417970902507991,8.0,14.4,1,57.35925396036879
8.251754909098263,6.015112504782859,8.0,14.4,1,54.43755646579163
8.474249937951146,6.121110992429408,8.0,14.4,1,93.440854293928
10.166097227672596,7.302413854579796,8.0,14.4,1,76.19824713694824
10.022034429673631,8.776381560237066,8.0,14.4,1,42.3737254193852
9.273707337546304,10.218930446565514,8.0,14.4,1,47.08528427768905
6.753370982350002,6.909056049679644,8.0,14.4,1,51.18131073069494
8.923724558342764,8.55205804474224,8.0,14.4,1,34.72151627022665
9.556217056927231,9.743004139533712,8.0,14.4,1,37.0615052800683
9.930758004399838,7.708119651988714,8.0,14.4,1,59.277245463989686
9.13940681546964,8.636837229767593,8.0,14.4,1,65.75582738231924
9.375603343826764,9.7485422612,8.0,14.4,1,26.78731831018593
9.463251495754402,6.709057335254271,8.0,14.4,1,82.46213717872425
8.78052112545,6.760105392479277,8.0,14.4,1,47.00449051357776
9.813118850216195,9.665838605666863,8.0,14.4,1,64.36883360352988
7.683488165947473,6.434104475775101,8.0,14.4,1,33.98866095200426
6.562321657098108,6.620368410187922,8.0,14.4,1,35.65480098211125
7.99433325007802,9.267506131216075,8.0,14.4,1,33.312260606140775
9.25883745135,8.74877050518838,8.0,14.4,1,28.426263360857764
9.828932059387537,9.763745696712444,8.0,14.4,1,90.257638518346
7.900099128474439,6.893744565754189,8.0,14.4,1,40.31966842542688
10.345486739693856,8.729381375938694,8.0,14.4,1,68.3372164455609
9.666725318683223,7.961283809750803,8.0,14.4,1,90.04171991995048
7.059459201668454,6.141109905499999,8.0,14.4,1,36.27922871601064
9.108738943962797,8.237744997912472,8.0,14.4,1,24.62402596610649
8.963088558439367,10.392644369924534,8.0,14.4,1,52.91340368677631
9.9307580044,9.019679288400322,8.0,14.4,1,47.15366923721552
