X_nm,Y_nm,Z_display,Layer,Sampled_Reconstruction_Intensity_au,Source
8.016428445267207,8.362879489091378,7.898564191842287,1,0.0,intensity-weighted sampled reconstruction pixel
8.212917476043899,9.058445218518184,8.163518667172225,1,96.0,intensity-weighted sampled reconstruction pixel
6.869569878325218,8.630911872483306,7.9493491556814,1,18.0,intensity-weighted sampled reconstruction pixel
7.824574561656879,7.181936957011404,8.014132713887708,1,24.0,intensity-weighted sampled reconstruction pixel
9.227320733250451,9.472409518102468,8.219202450550966,1,0.0,intensity-weighted sampled reconstruction pixel
6.576110087999991,9.132927026601507,7.855782315587698,1,14.0,intensity-weighted sampled reconstruction pixel
7.526960462346757,9.229240197000378,7.908644292891285,1,63.0,intensity-weighted sampled reconstruction pixel
6.810462873067107,6.8660085418787045,7.7842920160321265,1,21.0,intensity-weighted sampled reconstruction pixel
8.786912603326812,6.824477212808127,7.950245346558624,1,18.0,intensity-weighted sampled reconstruction pixel
6.5969663918660535,10.045057715243225,7.862084378069035,1,0.0,intensity-weighted sampled reconstruction pixel
9.885411419414474,7.957299186545675,8.08281607028763,1,68.0,intensity-weighted sampled reconstruction pixel
8.585973536504193,7.594281384701827,7.853407871032292,1,9.0,intensity-weighted sampled reconstruction pixel
6.70365643211011,8.303774960541467,8.0804138661067,1,84.0,intensity-weighted sampled reconstruction pixel
5.971559426113839,8.941731585049965,7.891198696967086,1,24.0,intensity-weighted sampled reconstruction pixel
7.777258400324503,10.203412930381276,7.933400203695752,1,24.0,intensity-weighted sampled reconstruction pixel
9.374593685690694,7.53639509122104,7.930475899941343,1,9.0,intensity-weighted sampled reconstruction pixel
8.13917223713661,10.024140339617189,8.09970580507526,1,14.0,intensity-weighted sampled reconstruction pixel
8.819417292793341,6.191941338154095,7.984594261043638,1,71.0,intensity-weighted sampled reconstruction pixel
9.027771917598969,8.53445018374953,7.936197493472235,1,21.0,intensity-weighted sampled reconstruction pixel
8.094132503377638,8.822876186677105,8.162206450758147,1,29.0,intensity-weighted sampled reconstruction pixel
7.212589783841208,6.726569109282079,8.033097287794954,1,27.0,intensity-weighted sampled reconstruction pixel
6.8373191927637365,6.912785647456529,7.868362177787879,1,14.0,intensity-weighted sampled reconstruction pixel
7.912045961083552,8.051858528905871,8.184041987946093,1,37.0,intensity-weighted sampled reconstruction pixel
7.106104454909707,10.27249649729061,7.927619136175474,1,66.0,intensity-weighted sampled reconstruction pixel
7.234080545925719,8.68876411869694,7.787930513667168,1,0.0,intensity-weighted sampled reconstruction pixel
7.053349675928061,10.07249148411869,7.997516103028248,1,75.0,intensity-weighted sampled reconstruction pixel
9.678971691702772,9.475078027679835,7.827011505042804,1,99.0,intensity-weighted sampled reconstruction pixel
7.07242297648754,8.222259372389843,7.879694564109242,1,21.0,intensity-weighted sampled reconstruction pixel
9.86490460581549,9.394697389404792,8.11367100143621,1,55.0,intensity-weighted sampled reconstruction pixel
8.05402721217434,6.133952970903877,7.830145834153106,1,21.0,intensity-weighted sampled reconstruction pixel
9.512284336459365,6.742935269991705,8.141194343202857,1,97.0,intensity-weighted sampled reconstruction pixel
6.708533842704045,9.586315254706072,8.200977352540239,1,75.0,intensity-weighted sampled reconstruction pixel
7.4667929200383,9.453852120396444,8.049004766187654,1,62.0,intensity-weighted sampled reconstruction pixel
9.547690129105456,7.3181913865314705,8.0967652283305,1,66.0,intensity-weighted sampled reconstruction pixel
6.677398579996956,8.455189133248721,8.098249840557411,1,0.0,intensity-weighted sampled reconstruction pixel
7.1664117946270185,8.723261019055824,8.226691660344404,1,127.0,intensity-weighted sampled reconstruction pixel
