atom_id,x_px,y_px,x_nm,y_nm,manual_atom_class,integrated_intensity,peak_height,local_background,local_normalized_intensity,overlay_to_peak_shift_px,nearest_neighbor_distance_px,local_pt_fraction,local_alternation_metric,smoothed_order_metric,spatial_region,lattice_i,lattice_j,parity_i_plus_j,lattice_fit_residual_px,expected_column_from_110,pt_probability_from_intensity,intensity_confidence,audited_column_label,display_label
286,348.849709426346,942.6462352434044,3.972869316764106,10.735311520597437,LM-like,4434.0,116.0,0.0,0.9449120937666488,2.017693471975928,19.060907148638755,0.5477705174183056,0.8,0.5968919960394736,liquid-metal,,,,,,,,,amorphous liquid-metal
287,864.6552295713257,813.611876961555,9.847112204256607,9.265805802306044,LM-like,4200.0,147.0,0.0,0.8292201382033564,2.0187875080811177,20.26751419088321,0.5312296301122108,0.6666666666666666,0.6262660416037791,ordered-intermetallic,9.0,-4.0,1.0,0.9472279837407644,Pt+Ga mixed projected column,0.0021174724325166852,0.9978825275674833,Pt+Ga mixed projected column,Pt+Ga mixed projected column
288,162.30929161345415,913.1677065591542,1.848456762475692,10.399595769807238,LM-like,4343.0,133.0,0.0,0.9066805845511482,2.0230658099347334,19.64425497523841,0.530820487932204,0.6666666666666666,0.6223528689102609,ordered-intermetallic,-19.0,28.0,1.0,1.2295736217179938,Pt+Ga mixed projected column,0.032209315171544385,0.9677906848284556,Pt+Ga mixed projected column,Pt+Ga mixed projected column
289,163.20666222641088,843.0208180386937,1.858676453298552,9.600729055749534,LM-like,4685.0,155.0,0.0,0.9053140096618356,2.0267840655047253,20.78577498165839,0.5328708505217897,0.6666666666666666,0.6247511909423289,ordered-intermetallic,-21.0,26.0,1.0,1.1610920763140236,Pt+Ga mixed projected column,0.030729427717280964,0.9692705722827191,Pt+Ga mixed projected column,Pt+Ga mixed projected column
290,185.34234210926783,912.8653568919196,2.110768288366806,10.39615246547465,LM-like,4540.0,140.0,0.0,0.9763440860215054,2.0284097725501224,19.43434757390231,0.5333450434694799,0.6666666666666666,0.6215691378276873,ordered-intermetallic,-18.0,27.0,1.0,0.4766590066382735,Pt+Ga mixed projected column,0.2834968045713622,0.7165031954286378,uncertain intensity,uncertain intensity
291,600.9770615488422,491.9188315962469,6.844217619767152,5.602209718336611,Pt-like,5801.0,206.0,0.0,1.0839951415490985,2.031119967267592,18.53555765909134,0.477495529911995,0.6666666666666666,0.572994715868473,Pt-rich,,,,,,,,,Pt-rich region
292,256.5892485196858,873.4722909648056,2.922162538509003,9.947525166422418,LM-like,4435.0,118.0,0.0,0.8995030929925971,2.0365513299377014,19.540820906301374,0.5357779688544985,0.6666666666666666,0.6221044185292961,ordered-intermetallic,-16.0,23.0,1.0,1.660699627458107,Pt+Ga mixed projected column,0.025140307409326015,0.974859692590674,Pt+Ga mixed projected column,Pt+Ga mixed projected column
293,221.01057860478863,859.5570033085525,2.516975427220849,9.789051136289547,Pt-like,5562.0,156.0,0.0,1.1435032894736843,2.0407086539518557,18.870599885587872,0.4711191033633756,0.6,0.6166547635802986,ordered-intermetallic,-18.0,24.0,0.0,0.682586942988837,Pt-rich projected column,0.9933931938079441,0.9933931938079441,Pt-rich projected column,Pt-rich projected column
294,456.9268684091984,707.8544197813758,5.203704307201918,8.06138869861676,Pt-like,5697.0,159.0,9.0,1.0809221136514562,2.061457104882076,19.327987962872868,0.4699790240555498,0.6666666666666666,0.6273280571083598,ordered-intermetallic,-12.0,10.0,0.0,0.4888213112882457,Pt-rich projected column,0.9420854361528812,0.9420854361528812,Pt-rich projected column,Pt-rich projected column
295,261.26850996490367,525.4867600275495,2.9754522323757207,5.9844975325112495,LM-like,4657.0,170.0,9.0,0.8750469748214956,2.062920105346429,21.06205605915324,0.5268353183334057,0.6666666666666666,0.5991512409428037,liquid-metal,,,,,,,,,amorphous liquid-metal
296,211.7018468974606,702.0261627556798,2.4109630855770874,7.995013687023148,LM-like,4840.0,163.0,0.0,0.8840182648401826,2.0667714577320373,20.099085553294923,0.5300851794076781,0.6666666666666666,0.6278811723222524,ordered-intermetallic,-23.0,20.0,1.0,0.3708133729713289,Pt+Ga mixed projected column,0.014656685364333262,0.9853433146356667,Pt+Ga mixed projected column,Pt+Ga mixed projected column
297,518.6263868956202,548.3376534383344,5.906368283207261,6.244734565363134,LM-like,4455.0,170.0,14.0,0.8980949501058361,2.0682339744786367,19.620750962539432,0.5228371373907346,0.6666666666666666,0.6249563221540233,ordered-intermetallic,-14.0,3.0,1.0,0.6533571128631338,Pt+Ga mixed projected column,0.02394262060526945,0.9760573793947306,Pt+Ga mixed projected column,Pt+Ga mixed projected column
298,921.7564055546404,931.1891337274516,10.497408030468712,10.604832503869488,Pt-like,4618.0,152.0,0.0,0.959086188992731,2.0698347226000555,19.205950212220635,0.4188715245690748,0.6666666666666666,0.5870120945189481,liquid-metal,,,,,,,,,amorphous liquid-metal
299,433.3902772853645,707.8684088601918,4.935658216950423,8.061548013016333,Pt-like,5273.0,151.0,9.0,0.9617875056999544,2.075662929586812,20.78266718195879,0.4712432889995272,0.6666666666666666,0.627142141890274,ordered-intermetallic,-13.0,11.0,0.0,1.505728437097803,Pt-rich projected column,0.19085442903995456,0.8091455709600455,uncertain intensity,uncertain intensity
