atom_id,x_px,y_px,x_nm,y_nm,manual_atom_class,integrated_intensity,peak_height,local_background,local_normalized_intensity,overlay_to_peak_shift_px,nearest_neighbor_distance_px,local_pt_fraction,local_alternation_metric,smoothed_order_metric,spatial_region
721,772.4879141592211,780.3815737333318,8.797466211971267,8.887363027337791,LM-like,4517.0,123.0,0.0,0.810951526032316,3.83106412047563,20.071199167416935,0.5298790241232428,0.6666666666666666,0.6250315185212476,ordered-intermetallic
722,616.4194280969884,948.5168019636103,7.020082763350732,10.802168375467904,Pt-like,4567.0,144.0,9.0,0.9955855904953949,3.831121721512216,20.210031843859976,0.46805158017792575,0.6666666666666666,0.6124091824725684,liquid-metal
723,527.0137237232751,738.9709016770213,6.001887334052253,8.415758253265786,Pt-like,5803.0,172.0,0.0,1.1191899710703954,3.846093942711913,20.20956750102725,0.4695075799293238,0.6666666666666666,0.6266868750386351,ordered-intermetallic
724,773.2380283756509,674.3244156224653,8.806008875685745,7.679532784409575,LM-like,4740.0,137.0,0.0,0.879080118694362,3.8466869401614168,16.389787764659246,0.5244205003608788,0.6666666666666666,0.6290372258601338,ordered-intermetallic
725,460.7501165798989,466.6611767558035,5.247245307630807,5.3145633215715815,Pt-like,5329.0,193.0,0.0,1.0369721735746253,3.847747082244942,20.824097577031075,0.6232519200989127,0.5,0.5298443303593826,Pt-rich
726,861.9974210231483,443.5118454720527,9.816843794263516,5.050927533793352,Pt-like,4560.0,169.0,0.0,0.8969315499606609,3.850727465747603,19.651361932153318,1.0,0.0,0.0009324730109521205,Pt-rich
727,93.97140129336906,775.7903948729745,1.0701917953885427,8.835076460575033,LM-like,5379.0,159.0,0.0,0.9736627749117567,3.853647518633641,19.05393943257238,0.5341320641801446,0.6666666666666666,0.6270304518951675,liquid-metal
728,760.7551002005549,692.5076964633346,8.663847248514662,7.886612786424157,Pt-like,5864.0,176.0,0.0,1.137426049849675,3.854539264926048,20.423683017799355,0.4691736803877791,0.6666666666666666,0.6283649474783102,ordered-intermetallic
729,887.1659231874282,916.9431038183665,10.10347487720696,10.44259182089865,LM-like,4372.0,156.0,0.0,0.9527130093702332,3.8574118841209684,19.74676177829445,0.5326921343363105,0.6666666666666666,0.6075832223247325,liquid-metal
730,565.8871032746126,478.205276876468,6.4445961931549185,5.446033120512962,LM-like,4877.5,189.5,4.5,0.9535679374389052,3.858762838539758,19.03708201083199,0.5948750783564357,0.6666666666666666,0.5621145269683845,Pt-rich
731,482.3148313182784,601.1042225889497,5.492834715315171,6.845665791231482,Pt-like,5945.0,166.0,0.0,1.1024571163653223,3.864355194319102,21.519407843524526,0.48202876420847,0.6666666666666666,0.6295448865251472,ordered-intermetallic
732,530.8731416328234,495.288372197773,6.045840252971486,5.640583677395965,Pt-like,5616.0,179.0,0.0,1.1177231565329884,3.8673194233864976,18.358986184809687,0.47305820485913797,0.6666666666666666,0.573307678253507,Pt-rich
733,678.5657195533247,715.4461374637846,7.72783480615324,8.147846853595805,LM-like,4589.0,160.0,0.0,0.8348189921775514,3.87526999024232,20.74707567689688,0.5258925412617012,0.6666666666666666,0.627370333871123,ordered-intermetallic
734,60.43759070618235,688.9817810328808,0.6882925317340268,7.846457955135378,Pt-like,6206.0,185.0,0.0,1.1044669870083645,3.87604191063197,19.529409294611153,0.4714018806742377,0.6666666666666666,0.6350568704271464,liquid-metal
735,315.0886056049505,854.3151968787063,3.5883815277598585,9.729354907894237,Pt-like,5341.0,169.0,0.0,0.998971289628729,3.882887534101037,20.406652438533612,0.4712556368895483,0.6666666666666666,0.6255231621330672,ordered-intermetallic
736,688.7746908602285,874.5202846462763,7.844099512027924,9.95946022564355,Pt-like,5179.0,172.0,0.0,1.0485928325571978,3.8988665136924108,20.767154475122606,0.46700711895320457,0.6666666666666666,0.6230049642702402,ordered-intermetallic
737,215.27040031124204,489.0836475095576,2.451603498854655,5.569921269870054,LM-like,5286.0,187.0,0.0,1.041986989946777,3.8998094121939624,19.20559039651571,0.5913293600387841,0.6666666666666666,0.5652508501221225,Pt-rich
738,957.2901771555496,947.3433356306285,10.902083818028633,10.788804372968876,LM-like,4843.0,158.0,0.0,1.045552677029361,3.902945953494168,19.327064899712965,0.4535086776681566,0.3333333333333333,0.5632779821698738,liquid-metal
739,106.97358972205586,688.8348404304172,1.2182670096235182,7.844784524442618,Pt-like,5935.0,195.0,0.0,1.0810564663023678,3.913315738860899,18.88552562766889,0.46756637552367564,0.6666666666666666,0.6283826163231369,liquid-metal
740,735.7289501754366,836.1203870892986,8.37883734062331,9.522143608634265,Pt-like,5843.0,185.0,0.0,1.1018291533094475,3.914992315358844,20.02240946881369,0.46794991959292104,0.6666666666666666,0.6214186551715793,ordered-intermetallic
