layer,lattice_i,lattice_j,x_ideal_px,y_ideal_px,x_completed_px,y_completed_px,atom_class,class_source,position_source,local_snr,local_prominence,refinement_shift_px,configured_radius_nm
4,0,3,678.2567930219963,786.0319305462726,677.1176058351249,791.1488889433676,LM-like,manual_label,strong_peak_refined,9.10222494499958,98.51204279307782,5.242233367977143,3.41
4,0,4,666.2809256898774,804.0766660233314,664.5445859776307,811.8118367353295,Pt-like,manual_label,weak_peak_refined,14.652446596006842,146.82188686244083,7.9276567496378085,3.41
4,0,5,654.3050583577586,822.1214015003903,652.3488483890524,829.5215211888886,LM-like,manual_label,weak_peak_refined,9.664386408631998,109.56728508818716,7.654314394233235,3.41
4,0,6,642.3291910256398,840.1661369774491,640.5594580977264,847.087724237426,Pt-like,manual_label,weak_peak_refined,10.83283220762861,141.79709832996122,7.144251173749045,3.41
4,0,7,630.3533236935211,858.210872454508,628.797917966198,865.3697184550966,LM-like,manual_label,weak_peak_refined,6.385332827041785,111.25572429424378,7.325869438963052,3.41
4,0,8,618.3774563614023,876.2556079315668,617.1814753247791,878.8889771302163,Pt-like,manual_label,lattice_completed,12.36010830402157,132.5027208367074,8.311087016141071,3.41
4,0,9,606.4015890292835,894.3003434086256,604.8958703696737,898.3351255499094,LM-like,manual_label,strong_peak_refined,11.530999967469526,118.26298357413486,4.306582822786516,3.41
4,0,10,594.4257216971647,912.3450788856845,592.5014279124172,919.9250210228729,Pt-like,manual_label,weak_peak_refined,8.715920746627726,104.7300225611425,7.820385500289723,3.41
4,0,11,582.4498543650459,930.3898143627433,580.2931052841893,934.1367035857544,LM-like,manual_label,strong_peak_refined,12.491425121276587,94.91841657848767,4.323279478277126,3.41
4,0,12,570.4739870329271,948.4345498398022,568.2655055593868,950.882288549872,Pt-like,manual_label,strong_peak_refined,7.099299102791713,100.56714360097601,3.2967886210287207,3.41
4,0,13,558.4981197008083,966.479285316861,556.209586696092,973.6881473385871,LM-like,manual_label,weak_peak_refined,10.544707831692573,114.98548170197347,7.563403662502783,3.41
4,1,-14,893.2876078714073,496.275374882209,892.091626834784,498.9087440808585,Pt-like,manual_label,lattice_completed,6.655152829578476,35.93767235415798,8.183022753810096,3.41
4,1,-13,881.3117405392885,514.3201103592678,880.1157595026652,516.9534795579173,Pt-like,manual_label,lattice_completed,4.953707840563955,43.27231427920148,8.113324797634338,3.41
4,1,-12,869.3358732071697,532.3648458363266,873.0051579535818,538.301160124474,Pt-like,manual_label,weak_peak_refined,3.1964031660113283,38.67829582857064,6.9787877083284116,3.41
4,1,-11,857.3600058750509,550.4095813133855,856.374630095746,551.6338795684551,Pt-like,manual_label,strong_peak_refined,7.4724165892687004,54.714356579037684,1.5715825284747325,3.41
4,1,-10,845.3841385429321,568.4543167904443,843.6294965028943,572.0966751389755,Pt-like,manual_label,strong_peak_refined,5.141868949519796,57.94135380931977,4.04296216007305,3.41
4,1,-9,833.4082712108133,586.4990522675032,831.7571174366051,589.9592595010937,Pt-like,manual_label,strong_peak_refined,9.941752604272533,83.41530447852912,3.833972207185899,3.41
4,1,-8,821.4324038786945,604.543787744562,819.2270804530095,607.9585919472153,LM-like,manual_label,strong_peak_refined,15.247147348200299,80.57197775312724,4.065014041099137,3.41
4,1,-7,809.4565365465758,622.5885232216208,805.1704856476085,625.7238665580729,Pt-like,manual_label,strong_peak_refined,5.443965944764422,66.6454482574743,5.310424667196838,3.41
4,1,-6,797.480669214457,640.6332586986797,795.344488811925,645.2524715032638,LM-like,manual_label,strong_peak_refined,17.789507564460507,101.75066530850611,5.089242934484002,3.41
4,1,-5,785.5048018823381,658.6779941757385,782.4255805897167,662.2311806633674,Pt-like,manual_label,strong_peak_refined,5.98103726159919,92.00413129641613,4.7017802995037705,3.41
4,1,-4,773.5289345502193,676.7227296527974,770.4581536685912,681.0225081120807,LM-like,manual_label,strong_peak_refined,14.912955204822262,128.04737133717236,5.283728799048022,3.41
4,1,-3,761.5530672181005,694.7674651298562,758.2554477689557,698.6769330442149,Pt-like,manual_label,strong_peak_refined,12.051718538357743,126.25604815197079,5.114512039753018,3.41
4,1,-2,749.5771998859817,712.812200606915,747.487332408376,717.4063887574396,LM-like,manual_label,strong_peak_refined,8.495054279678653,112.06184797661042,5.0471884090426595,3.41
4,1,-1,737.6013325538629,730.8569360839739,735.8013775629038,738.0543046121829,Pt-like,manual_label,weak_peak_refined,13.070773817334517,125.11841803374885,7.419026331017609,3.41
4,1,0,725.6254652217441,748.9016715610327,723.450214932611,755.550176477831,LM-like,manual_label,weak_peak_refined,15.45506932065682,117.58459936936556,6.9953078166057026,3.41
4,1,1,713.6495978896253,766.9464070380915,711.6825034477278,772.6283711746705,Pt-like,manual_label,weak_peak_refined,17.228252254927167,140.58842198827315,6.012834356001715,3.41
4,1,2,701.6737305575065,784.9911425151504,700.0868031212998,791.8177012813584,LM-like,manual_label,weak_peak_refined,14.590143792884298,125.73692938757775,7.008583542790706,3.41
4,1,3,689.6978632253877,803.0358779922092,687.9359784359314,810.2191159204747,Pt-like,manual_label,weak_peak_refined,21.04307228102528,146.7139297127863,7.3961574581257725,3.41
4,1,4,677.7219958932689,821.080613469268,676.6344131582,828.9361509278781,LM-like,manual_label,weak_peak_refined,11.545131391581991,116.72228012869567,7.930466882173238,3.41
4,1,5,665.74612856115,839.1253489463269,664.5169055544654,840.7019786174925,Pt-like,manual_label,strong_peak_refined,11.524700227218277,109.15139264992956,1.9991874149670292,3.41
4,1,6,653.7702612290313,857.1700844233857,651.8511429151324,864.5293601988029,LM-like,manual_label,weak_peak_refined,9.124037409520476,106.80411126351432,7.605389867809893,3.41
4,1,7,641.7943938969125,875.2148199004446,639.7681803354171,882.3196405572728,Pt-like,manual_label,weak_peak_refined,8.12464522716265,139.34877706204182,7.388099753149043,3.41
4,1,8,629.8185265647937,893.2595553775034,628.5178965951642,895.5561608657946,LM-like,manual_label,strong_peak_refined,12.867237317031083,86.4222735703171,2.639324740676655,3.41
4,1,9,617.8426592326749,911.3042908545622,615.9835115466473,918.0337881043066,Pt-like,manual_label,weak_peak_refined,10.071675827015568,142.52153024404518,6.981587452204546,3.41
4,1,10,605.8667919005561,929.3490263316211,603.9066496123376,936.7035057685101,LM-like,manual_label,weak_peak_refined,7.444858569853975,109.96687236594941,7.611210519863876,3.41
4,1,11,593.8909245684373,947.3937618086799,592.2937549923479,952.2089795782236,Pt-like,manual_label,strong_peak_refined,7.3296768103014225,121.76983279404858,5.073191581530881,3.41
4,1,12,581.9150572363185,965.4384972857388,579.9898839024713,971.4200732321003,LM-like,manual_label,weak_peak_refined,10.119346116909679,109.50743656929114,6.283752315889546,3.41
4,1,13,569.9391899041997,983.4832327627976,568.1155971097388,987.956222539188,Pt-like,manual_label,strong_peak_refined,19.028059160715546,143.97669461294902,4.830437684072047,3.41
4,2,-14,904.7286780747987,513.2793223281456,908.7526118843615,515.169118475255,Pt-like,manual_label,strong_peak_refined,3.589570730003483,42.9646271005243,4.4456015095116355,3.41
4,2,-13,892.7528107426799,531.3240578052043,894.2035069984844,532.6592221402846,Pt-like,manual_label,strong_peak_refined,5.452808846917843,44.11930266160411,1.971594133759606,3.41
4,2,-12,880.7769434105611,549.3687932822631,880.9278691348254,552.6480616640347,Pt-like,manual_label,strong_peak_refined,3.7173881819184835,48.1747260703428,3.2827396628321397,3.41
4,2,-11,868.8010760784423,567.413528759322,868.981853620006,568.5755604597376,Pt-like,manual_label,strong_peak_refined,7.3813351118008566,56.27272160761758,1.1760094354657744,3.41
4,2,-10,856.8252087463235,585.458264236381,852.736772652013,588.0771031159487,Pt-like,Pt-rich_region,strong_peak_refined,4.460828447946156,62.407821966565365,4.855267940536001,3.41
4,2,-9,844.8493414142047,603.5029997134397,843.9764601986034,608.060937604949,LM-like,manual_label,strong_peak_refined,12.4285155785485,77.765526129848,4.640767117557767,3.41
4,2,-8,832.873474082086,621.5477351904985,830.3266013319982,623.304279145152,Pt-like,manual_label,strong_peak_refined,8.688683410079072,76.94099763633015,3.0938661040467528,3.41
4,2,-7,820.897606749967,639.5924706675573,818.1337646958759,641.7925300396462,LM-like,manual_label,strong_peak_refined,9.741822369821607,81.5725744501184,3.5325747183433545,3.41
4,2,-6,808.9217394178484,657.6372061446162,806.177556748133,659.6081397915724,Pt-like,manual_label,strong_peak_refined,13.05511063451683,98.45746856839737,3.3786266389569835,3.41
4,2,-5,796.9458720857295,675.681941621675,795.2952065822641,682.1929455780161,LM-like,manual_label,weak_peak_refined,7.916482772961978,87.95643151615127,6.716983632838434,3.41
4,2,-4,784.9700047536107,693.726677098734,782.2255373239407,696.2586277019791,Pt-like,manual_label,strong_peak_refined,8.281357522334247,119.75401875738862,3.7340159787811973,3.41
4,2,-3,772.9941374214919,711.7714125757927,770.5430708907668,715.8704693052548,LM-like,manual_label,strong_peak_refined,13.58177993849045,124.02148890690788,4.775980863591186,3.41
4,2,-2,761.0182700893731,729.8161480528515,759.461944626062,734.6051723917807,Pt-like,manual_label,strong_peak_refined,8.061737972882108,117.2259036701929,5.035563828073926,3.41
4,2,-1,749.0424027572543,747.8608835299104,746.7013895642684,754.0741775543678,LM-like,manual_label,weak_peak_refined,9.442787233531654,109.75240413790806,6.6396811221693035,3.41
4,2,0,737.0665354251355,765.9056190069692,735.3330883747502,771.6358331030667,Pt-like,manual_label,weak_peak_refined,18.17547351436724,130.3670026219604,5.9866678765072425,3.41
4,2,1,725.0906680930167,783.9503544840281,723.753694905225,790.8922114227255,LM-like,manual_label,weak_peak_refined,16.682761332450777,134.88172547674725,7.0694324427223005,3.41
4,2,2,713.1148007608979,801.9950899610869,711.4515661144595,806.9746517918826,Pt-like,manual_label,strong_peak_refined,12.35363200037071,135.42917347932587,5.249989096734387,3.41
4,2,3,701.1389334287791,820.0398254381457,699.9110433139722,827.5458588874635,LM-like,manual_label,weak_peak_refined,24.68558919227419,112.50815396079852,7.605803854709762,3.41
4,2,4,689.1630660966603,838.0845609152046,687.8281340212451,841.08742247899,Pt-like,manual_label,strong_peak_refined,18.42920305073599,125.45818952254682,3.2862168548700037,3.41
4,2,5,677.1871987645416,856.1292963922634,675.9912177279183,858.762665590913,LM-like,manual_label,lattice_completed,11.63650613187076,116.65964207974795,8.023386537313778,3.41
4,2,6,665.2113314324228,874.1740318693223,662.9963181880181,880.9636625896836,Pt-like,manual_label,weak_peak_refined,9.26058049282382,141.8080155983245,7.141804323261855,3.41
4,2,7,653.235464100304,892.2187673463811,651.8169018034514,894.4525821742495,LM-like,manual_label,strong_peak_refined,12.815002760910424,102.22683239798307,2.6461760476688414,3.41
4,2,8,641.2595967681851,910.2635028234399,639.3017734537034,917.6875961477677,Pt-like,manual_label,weak_peak_refined,11.731950888131923,119.0102364974089,7.677905562004348,3.41
4,2,9,629.2837294360663,928.3082383004987,627.7943854054622,933.9491114570453,LM-like,manual_label,weak_peak_refined,6.587986003641985,108.19541352357392,5.834174801096053,3.41
4,2,10,617.3078621039475,946.3529737775576,615.2769738316006,953.5756327606023,Pt-like,manual_label,weak_peak_refined,14.07933756241269,141.02860829710352,7.502753491892958,3.41
4,2,11,605.3319947718287,964.3977092546164,603.6609747773355,970.6095884058793,LM-like,manual_label,weak_peak_refined,17.3932338291095,125.20703704648531,6.432709414538398,3.41
4,2,12,593.3561274397099,982.4424447316753,591.5065000606663,988.2683135523996,Pt-like,manual_label,weak_peak_refined,16.233583287267663,141.00414027417366,6.112435599464006,3.41
4,3,-14,916.1697482781901,530.2832697740821,921.0669478595264,532.0276819385123,Pt-like,manual_label,strong_peak_refined,4.3672888979847535,51.08463869035424,5.198609192741094,3.41
4,3,-13,904.1938809460713,548.3280052511409,907.4053433736573,549.6354768390803,Pt-like,manual_label,strong_peak_refined,4.714118027742638,46.33887258663049,3.467415878873642,3.41
