0%_InSn_X,0%_InSn_Y,0%_PartZn_X,0%_PartZn_Y,0%_Pure_X,0%_Pure_Y,0%_Mean_X,0%_Mean_Y,0%_Mean_Std,12%_GaSn_X,12%_GaSn_Y,12%_GaIn_X,12%_GaIn_Y,12%_GaInSn_X,12%_GaInSn_Y,12%_FiveElem_X,12%_FiveElem_Y,12%_PartZn_X,12%_PartZn_Y,12%_Mean_X,12%_Mean_Y,12%_Mean_Std,25%_GaSn_X,25%_GaSn_Y,25%_GaIn_X,25%_GaIn_Y,25%_GaInSn_X,25%_GaInSn_Y,25%_FiveElem_X,25%_FiveElem_Y,25%_PartZn_X,25%_PartZn_Y,25%_Mean_X,25%_Mean_Y,25%_Mean_Std,37%_GaSn_X,37%_GaSn_Y,37%_GaIn_X,37%_GaIn_Y,37%_GaInSn_X,37%_GaInSn_Y,37%_FiveElem_X,37%_FiveElem_Y,37%_PartZn_X,37%_PartZn_Y,37%_Mean_X,37%_Mean_Y,37%_Mean_Std,50%_GaSn_X,50%_GaSn_Y,50%_GaIn_X,50%_GaIn_Y,50%_GaInSn_X,50%_GaInSn_Y,50%_FiveElem_X,50%_FiveElem_Y,50%_PartZn_X,50%_PartZn_Y,50%_Mean_X,50%_Mean_Y,50%_Mean_Std,62%_GaSn_X,62%_GaSn_Y,62%_GaIn_X,62%_GaIn_Y,62%_GaInSn_X,62%_GaInSn_Y,62%_FiveElem_X,62%_FiveElem_Y,62%_PartZn_X,62%_PartZn_Y,62%_Mean_X,62%_Mean_Y,62%_Mean_Std,75%_GaSn_X,75%_GaSn_Y,75%_GaIn_X,75%_GaIn_Y,75%_GaInSn_X,75%_GaInSn_Y,75%_PartZn_X,75%_PartZn_Y,75%_Mean_X,75%_Mean_Y,75%_Mean_Std,87%_GaSn_X,87%_GaSn_Y,87%_GaIn_X,87%_GaIn_Y,87%_PartZn_X,87%_PartZn_Y,87%_Mean_X,87%_Mean_Y,87%_Mean_Std,100%_Pure_X,100%_Pure_Y,100%_Mean_X,100%_Mean_Y,100%_Mean_Std
,,-0.102,-24.5859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.329,-24.5303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.275,-24.4314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.195,-24.3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.214,-24.2373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.023,-23.8754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.319,-23.5152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.242,-22.9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.128,-22.8946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.171,-22.8526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.327,-22.7416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.122,-22.6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.091,-22.4871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.021,-22.4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.217,-22.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
