layer,radial_bin,radius_inner,radius_outer,candidate_locked_sites,matched_measured_sites,parity0_count,parity1_count,lattice_support_fraction,auc_local_order_s_parity0,alternating_row_order_score,order_cell_valid,low_sample_reason
5,2,0.4,0.6000000000000001,134,114,58,56,0.8507462686567164,0.7339901477832512,0.4679802955665024,True,
5,3,0.6000000000000001,0.8,185,161,86,75,0.8702702702702703,0.7189147286821705,0.4378294573643411,True,
5,4,0.8,1.0,244,200,100,100,0.819672131147541,0.6586,0.3171999999999999,True,
6,0,0.0,0.2,27,27,14,13,1.0,0.989010989010989,0.978021978021978,True,
6,1,0.2,0.4,81,79,37,42,0.9753086419753086,0.9369369369369368,0.8738738738738738,True,
6,2,0.4,0.6000000000000001,136,130,67,63,0.9558823529411764,0.873015873015873,0.746031746031746,True,
6,3,0.6000000000000001,0.8,187,187,94,93,1.0,0.7999313658201784,0.5998627316403569,True,
6,4,0.8,1.0,243,236,117,119,0.97119341563786,0.7007110536522301,0.4014221073044601,True,
7,0,0.0,0.2,35,35,17,18,1.0,0.937908496732026,0.8758169934640523,True,
7,1,0.2,0.4,98,97,50,47,0.9897959183673468,0.9693617021276596,0.9387234042553192,True,
7,2,0.4,0.6000000000000001,167,167,84,83,1.0,0.9307228915662652,0.8614457831325302,True,
7,3,0.6000000000000001,0.8,229,228,114,114,0.9956331877729258,0.8329485995690982,0.6658971991381963,True,
7,4,0.8,1.0,289,269,132,137,0.9307958477508652,0.7828467153284672,0.5656934306569343,True,
8,0,0.0,0.2,34,34,16,18,1.0,0.9444444444444444,0.8888888888888888,True,
8,1,0.2,0.4,100,100,51,49,1.0,0.9647859143657465,0.9295718287314928,True,
8,2,0.4,0.6000000000000001,164,164,83,81,1.0,0.9784322475085528,0.9568644950171056,True,
8,3,0.6000000000000001,0.8,232,226,114,112,0.9741379310344828,0.8689692982456141,0.7379385964912282,True,
8,4,0.8,1.0,291,253,132,121,0.8694158075601375,0.8147382920110193,0.6294765840220387,True,
9,0,0.0,0.2,35,35,17,18,1.0,0.9215686274509804,0.8431372549019607,True,
9,1,0.2,0.4,96,92,48,44,0.9583333333333334,0.9805871212121212,0.9611742424242424,True,
9,2,0.4,0.6000000000000001,165,143,82,61,0.8666666666666667,0.9358256697321072,0.8716513394642142,True,
9,3,0.6000000000000001,0.8,237,194,109,85,0.8185654008438819,0.8500809498111171,0.7001618996222343,True,
9,4,0.8,1.0,289,201,116,85,0.6955017301038062,0.7391480730223123,0.4782961460446246,True,
10,0,0.0,0.2,27,26,14,12,0.9629629629629628,0.9047619047619048,0.8095238095238095,True,
10,1,0.2,0.4,83,64,40,24,0.7710843373493976,0.965625,0.93125,True,
10,2,0.4,0.6000000000000001,130,94,62,32,0.7230769230769231,0.8618951612903226,0.7237903225806452,True,
10,3,0.6000000000000001,0.8,189,135,81,54,0.7142857142857143,0.8189300411522634,0.6378600823045268,True,
10,4,0.8,1.0,243,166,98,68,0.6831275720164609,0.7408463385354142,0.4816926770708283,True,
11,0,0.0,0.2,34,19,13,6,0.5588235294117647,,,False,n<20 or parity group<5
11,1,0.2,0.4,95,50,42,8,0.5263157894736842,0.8422619047619048,0.6845238095238095,True,
11,2,0.4,0.6000000000000001,164,81,61,20,0.4939024390243902,0.6467213114754098,0.2934426229508196,True,
11,3,0.6000000000000001,0.8,237,122,79,43,0.5147679324894515,0.7477185752134237,0.4954371504268473,True,
11,4,0.8,1.0,293,161,97,64,0.5494880546075085,0.5942332474226805,0.1884664948453609,True,
12,0,0.0,0.2,34,8,8,0,0.2352941176470588,,,False,n<20 or parity group<5
12,1,0.2,0.4,98,37,33,4,0.3775510204081632,,,False,n<20 or parity group<5
12,2,0.4,0.6000000000000001,161,59,48,11,0.3664596273291925,0.4375,0.125,True,
12,3,0.6000000000000001,0.8,236,85,61,24,0.3601694915254237,0.6632513661202186,0.3265027322404372,True,
12,4,0.8,1.0,291,133,88,45,0.4570446735395189,0.5037878787878788,0.0075757575757575,True,
13,0,0.0,0.2,7,2,2,0,0.2857142857142857,,,False,n<20 or parity group<5
13,1,0.2,0.4,18,2,2,0,0.1111111111111111,,,False,n<20 or parity group<5
13,2,0.4,0.6000000000000001,35,11,11,0,0.3142857142857143,,,False,n<20 or parity group<5
13,3,0.6000000000000001,0.8,44,14,12,2,0.3181818181818182,,,False,n<20 or parity group<5
13,4,0.8,1.0,58,12,12,0,0.2068965517241379,,,False,n<20 or parity group<5
14,0,0.0,0.2,3,1,1,0,0.3333333333333333,,,False,n<20 or parity group<5
14,1,0.2,0.4,14,5,2,3,0.3571428571428571,,,False,n<20 or parity group<5
14,2,0.4,0.6000000000000001,20,4,4,0,0.2,,,False,n<20 or parity group<5
14,3,0.6000000000000001,0.8,28,8,7,1,0.2857142857142857,,,False,n<20 or parity group<5
14,4,0.8,1.0,36,6,5,1,0.1666666666666666,,,False,n<20 or parity group<5
15,0,0.0,0.2,3,0,0,0,0.0,,,False,n<20 or parity group<5
15,1,0.2,0.4,15,8,4,4,0.5333333333333333,,,False,n<20 or parity group<5
15,2,0.4,0.6000000000000001,20,4,3,1,0.2,,,False,n<20 or parity group<5
15,3,0.6000000000000001,0.8,27,7,4,3,0.2592592592592592,,,False,n<20 or parity group<5
15,4,0.8,1.0,35,15,8,7,0.4285714285714285,,,False,n<20 or parity group<5
