layer,x_px,y_px,x_nm,y_nm,display_z_base,brightness
1,739.8750795437232,606.5589989362163,8.426055468388666,6.907787424113167,8.0,58.81319041616273
1,744.9016213722289,608.2034218223403,8.483300159326605,6.9265149077588015,8.0,59.963472380970714
1,781.9259552330285,573.9618606019044,8.904951191259764,6.536555437376926,8.0,50.90385162421361
1,830.6708428060019,809.0623602029183,9.460081561029126,9.213993703720053,8.0,51.51217946425586
1,855.5261945153048,607.9999999999999,9.743146335042127,6.924198241599999,8.0,41.09394172269798
1,619.5814426067021,717.0000000000001,7.056093314844273,8.165542992150002,8.0,43.1473176515888
1,790.6853118897827,766.9999999999999,9.004706983957535,8.734967189649998,8.0,30.76749124162801
1,685.2105527769852,872.4895964651535,7.803509382671324,9.936333765885378,8.0,69.41816470737518
1,830.7052742893184,608.6785868106738,9.46047368342425,6.93192631660204,8.0,76.31165974078849
1,859.3223352359258,629.9999999999999,9.786378622710862,7.1747448884999985,8.0,32.940559791077504
1,744.2515172739063,632.5418603574021,8.47589645923703,7.203692824383415,8.0,68.89544449107353
1,849.350511172347,681.8187493986444,9.67281466441057,7.764881884335534,8.0,28.500469050730075
1,694.8271254508346,920.2105924769133,7.913027566221467,10.479803563043319,8.0,52.730627483180605
1,770.0383324416266,652.0000000000001,8.76956918989623,7.425291535400001,8.0,59.90111745852572
1,815.6802670647124,892.3375099007591,9.289361629798192,10.162371409487761,8.0,38.593212322593715
1,743.1125784929912,646.8772342712831,8.462925673210545,7.366951000118898,8.0,70.06114811626234
1,779.0000000000008,553.6059330046493,8.87162899705001,6.3047322826482235,8.0,70.16225865220866
1,815.4147893615202,825.2984720853674,9.286338241236304,9.398898403303729,8.0,42.97431120301876
1,732.9463389556106,632.0577614522606,8.34714761740723,7.198179671771999,8.0,51.53936766408636
1,678.2377072259582,585.5154114779879,7.724099243027624,6.668132866094711,8.0,89.71509587298604
1,913.9005670380095,699.428304204937,10.407941939608271,7.965428016613643,8.0,97.32428589245102
1,790.0361221518398,735.8861956709765,8.997313697046467,8.380628128425474,8.0,59.63652058517954
1,823.979833445713,553.5565711997547,9.383881108320175,6.304170126525438,8.0,52.83697298076056
1,735.8641537393388,563.5491897504049,8.380377104240793,6.417970902507991,8.0,57.35925396036879
1,724.5700960133735,528.1749995163192,8.251754909098263,6.015112504782859,8.0,54.43755646579163
1,744.1069395326448,537.4825147318584,8.474249937951146,6.121110992429408,8.0,93.44085429392801
1,892.6646665443644,641.2103565883144,10.166097227672596,7.302413854579796,8.0,76.19824713694824
1,880.0148003609938,770.6365130573034,10.022034429673633,8.776381560237066,8.0,42.3737254193852
1,814.3056949688466,897.30384583503,9.273707337546305,10.218930446565514,8.0,47.08528427768905
1,593.0000000000001,606.6703944101044,6.753370982350002,6.909056049679644,8.0,51.18131073069494
