T_K,dG_HEA_mean_kJmol_atom,dG_HEA_plus1sigma,dG_HEA_minus1sigma,dG_HEI_sublattice_upper_bound_entropy,dG_HEI_frozen_zero_entropy,Gap_HEA_minus_HEI_sublattice,Gap_HEA_minus_HEI_frozen
600.0,-18.498559653027087,-16.27457544228401,-20.722543863770163,-31.736827896461328,-30.007884,13.238268243434241,11.509324346972914
610.0,-18.574130530021982,-16.350146319278906,-20.798114740765058,-31.765643628069018,-30.007884,13.191513098047036,11.433753469978019
620.0,-18.649701407016877,-16.4257171962738,-20.873685617759953,-31.794459359676708,-30.007884,13.14475795265983,11.358182592983123
630.0,-18.725272284011773,-16.5012880732687,-20.94925649475485,-31.823275091284394,-30.007884,13.098002807272621,11.282611715988228
640.0,-18.800843161006668,-16.576858950263595,-21.024827371749744,-31.852090822892084,-30.007884,13.051247661885416,11.207040838993333
650.0,-18.876414038001563,-16.65242982725849,-21.10039824874464,-31.880906554499774,-30.007884,13.00449251649821,11.131469961998437
660.0,-18.951984914996462,-16.728000704253386,-21.175969125739538,-31.909722286107463,-30.007884,12.957737371111001,11.055899085003539
670.0,-19.027555791991357,-16.803571581248285,-21.251540002734433,-31.93853801771515,-30.007884,12.910982225723792,10.980328208008643
680.0,-19.103126668986253,-16.87914245824318,-21.32711087972933,-31.96735374932284,-30.007884,12.864227080336587,10.904757331013748
690.0,-19.178697545981148,-16.954713335238075,-21.402681756724224,-31.99616948093053,-30.007884,12.817471934949381,10.829186454018853
700.0,-19.254268422976047,-17.03028421223297,-21.478252633719123,-32.02498521253822,-30.007884,12.770716789562172,10.753615577023954
710.0,-19.329839299970942,-17.105855089227866,-21.553823510714018,-32.053800944145905,-30.007884,12.723961644174963,10.678044700029059
720.0,-19.405410176965837,-17.18142596622276,-21.629394387708913,-32.08261667575359,-30.007884,12.677206498787754,10.602473823034163
730.0,-19.480981053960733,-17.256996843217657,-21.70496526470381,-32.111432407361285,-30.007884,12.630451353400552,10.526902946039268
740.0,-19.556551930955628,-17.332567720212552,-21.780536141698704,-32.14024813896897,-30.007884,12.583696208013343,10.451332069044373
750.0,-19.632122807950523,-17.40813859720745,-21.8561070186936,-32.169063870576664,-30.007884,12.536941062626141,10.375761192049477
760.0,-19.70769368494542,-17.483709474202346,-21.931677895688495,-32.19787960218435,-30.007884,12.490185917238932,10.300190315054582
770.0,-19.783264561940314,-17.55928035119724,-22.00724877268339,-32.22669533379204,-30.007884,12.443430771851723,10.224619438059687
780.0,-19.858835438935213,-17.634851228192137,-22.08281964967829,-32.25551106539973,-30.007884,12.396675626464518,10.149048561064788
790.0,-19.934406315930108,-17.710422105187035,-22.158390526673184,-32.28432679700742,-30.007884,12.349920481077309,10.073477684069893
800.0,-20.009977192925003,-17.78599298218193,-22.23396140366808,-32.3131425286151,-30.007884,12.3031653356901,9.997906807074997
810.0,-20.0855480699199,-17.861563859176826,-22.309532280662975,-32.341958260222796,-30.007884,12.256410190302898,9.922335930080102
820.0,-20.161118946914794,-17.93713473617172,-22.38510315765787,-32.37077399183048,-30.007884,12.209655044915689,9.846765053085207
830.0,-20.236689823909693,-18.012705613166617,-22.46067403465277,-32.39958972343817,-30.007884,12.162899899528476,9.771194176090308
840.0,-20.312260700904588,-18.088276490161512,-22.536244911647664,-32.42840545504586,-30.007884,12.116144754141274,9.695623299095413
850.0,-20.387831577899483,-18.163847367156407,-22.61181578864256,-32.45722118665355,-30.007884,12.069389608754065,9.620052422100517
860.0,-20.46340245489438,-18.239418244151302,-22.687386665637455,-32.486036918261235,-30.007884,12.022634463366856,9.544481545105622
870.0,-20.538973331889274,-18.3149891211462,-22.76295754263235,-32.51485264986893,-30.007884,11.975879317979654,9.468910668110727
880.0,-20.61454420888417,-18.390559998141097,-22.838528419627245,-32.543668381476614,-30.007884,11.929124172592445,9.393339791115832
890.0,-20.690115085879064,-18.466130875135992,-22.91409929662214,-32.57248411308431,-30.007884,11.882369027205243,9.317768914120936
900.0,-20.765685962873963,-18.541701752130887,-22.98967017361704,-32.601299844691994,-30.007884,11.83561388181803,9.242198037126037
910.0,-20.84125683986886,-18.617272629125782,-23.065241050611935,-32.63011557629968,-30.007884,11.788858736430821,9.166627160131142
920.0,-20.916827716863754,-18.69284350612068,-23.14081192760683,-32.65893130790737,-30.007884,11.74210359104362,9.091056283136247
930.0,-20.99239859385865,-18.768414383115577,-23.216382804601725,-32.68774703951506,-30.007884,11.69534844565641,9.015485406141352
940.0,-21.067969470853544,-18.843985260110472,-23.29195368159662,-32.716562771122746,-30.007884,11.648593300269201,8.939914529146456
950.0,-21.143540347848443,-18.919556137105367,-23.36752455859152,-32.74537850273044,-30.007884,11.601838154881996,8.864343652151558
960.0,-21.21911122484334,-18.995127014100262,-23.443095435586415,-32.774194234338125,-30.007884,11.555083009494787,8.788772775156662
970.0,-21.294682101838234,-19.070697891095158,-23.51866631258131,-32.80300996594581,-30.007884,11.508327864107578,8.713201898161767
980.0,-21.37025297883313,-19.146268768090053,-23.594237189576205,-32.831825697553505,-30.007884,11.461572718720376,8.637631021166872
990.0,-21.445823855828024,-19.221839645084952,-23.6698080665711,-32.86064142916119,-30.007884,11.414817573333167,8.562060144171976
1000.0,-21.52139473282292,-19.297410522079847,-23.745378943565996,-32.889457160768885,-30.007884,11.368062427945965,8.486489267177081
1010.0,-21.596965609817815,-19.372981399074742,-23.82094982056089,-32.91827289237657,-30.007884,11.321307282558756,8.410918390182186
1020.0,-21.672536486812714,-19.448552276069638,-23.89652069755579,-32.94708862398426,-30.007884,11.274552137171543,8.335347513187287
1030.0,-21.74810736380761,-19.524123153064533,-23.972091574550685,-32.97590435559195,-30.007884,11.227796991784341,8.259776636192392
1040.0,-21.823678240802504,-19.599694030059432,-24.04766245154558,-33.00472008719964,-30.007884,11.181041846397132,8.184205759197496
1050.0,-21.8992491177974,-19.675264907054327,-24.123233328540476,-33.03353581880732,-30.007884,11.134286701009923,8.108634882202601
1060.0,-21.9748199947923,-19.750835784049222,-24.198804205535374,-33.062351550415016,-30.007884,11.087531555622718,8.033064005207702
1070.0,-22.050390871787194,-19.826406661044118,-24.27437508253027,-33.0911672820227,-30.007884,11.040776410235509,7.957493128212807
1080.0,-22.12596174878209,-19.901977538039013,-24.349945959525165,-33.11998301363039,-30.007884,10.9940212648483,7.881922251217912
1090.0,-22.201532625776984,-19.977548415033908,-24.42551683652006,-33.14879874523808,-30.007884,10.947266119461098,7.806351374223016
1100.0,-22.27710350277188,-20.053119292028803,-24.501087713514956,-33.17761447684577,-30.007884,10.900510974073889,7.730780497228121
1110.0,-22.352674379766775,-20.1286901690237,-24.57665859050985,-33.206430208453455,-30.007884,10.85375582868668,7.655209620233226
1120.0,-22.42824525676167,-20.204261046018598,-24.652229467504746,-33.23524594006115,-30.007884,10.807000683299478,7.5796387432383305
1130.0,-22.503816133756565,-20.279831923013493,-24.72780034449964,-33.264061671668834,-30.007884,10.760245537912269,7.504067866243435
1140.0,-22.57938701075146,-20.355402800008388,-24.803371221494537,-33.29287740327653,-30.007884,10.713490392525067,7.42849698924854
1150.0,-22.65495788774636,-20.430973677003287,-24.878942098489436,-33.321693134884214,-30.007884,10.666735247137854,7.352926112253641
1160.0,-22.730528764741255,-20.506544553998182,-24.95451297548433,-33.3505088664919,-30.007884,10.619980101750645,7.277355235258746
1170.0,-22.80609964173615,-20.582115430993078,-25.030083852479226,-33.37932459809959,-30.007884,10.573224956363443,7.2017843582638505
1180.0,-22.881670518731045,-20.657686307987973,-25.10565472947412,-33.40814032970728,-30.007884,10.526469810976234,7.126213481268955
1190.0,-22.957241395725944,-20.733257184982868,-25.18122560646902,-33.436956061314966,-30.007884,10.479714665589022,7.050642604274056
1200.0,-23.03281227272084,-20.808828061977763,-25.256796483463916,-33.46577179292266,-30.007884,10.43295952020182,6.975071727279161
1210.0,-23.108383149715735,-20.88439893897266,-25.33236736045881,-33.494587524530345,-30.007884,10.38620437481461,6.899500850284266
1220.0,-23.18395402671063,-20.959969815967554,-25.407938237453706,-33.52340325613803,-30.007884,10.339449229427402,6.823929973289371
1230.0,-23.259524903705525,-21.03554069296245,-25.4835091144486,-33.552218987745725,-30.007884,10.2926940840402,6.748359096294475
1240.0,-23.33509578070042,-21.111111569957345,-25.559079991443497,-33.58103471935341,-30.007884,10.24593893865299,6.67278821929958
1250.0,-23.410666657695316,-21.186682446952243,-25.634650868438392,-33.609850450961105,-30.007884,10.199183793265789,6.597217342304685
1260.0,-23.48623753469021,-21.26225332394714,-25.710221745433287,-33.63866618256879,-30.007884,10.15242864787858,6.521646465309789
1270.0,-23.561808411685107,-21.337824200942034,-25.785792622428183,-33.66748191417648,-30.007884,10.10567350249137,6.446075588314894
1280.0,-23.637379288680005,-21.413395077936933,-25.86136349942308,-33.69629764578417,-30.007884,10.058918357104165,6.370504711319995
