T_K,G_disordered_mean_kJ_mol_atom,G_disordered_minus1SD,G_disordered_plus1SD,G_ordered_Bmix_mean_kJ_mol_atom,G_ordered_Bmix_minus1SD,G_ordered_Bmix_plus1SD,G_ordered_frozen_mean_kJ_mol_atom,Gap_disordered_minus_ordered_Bmix,Gap_disordered_minus_ordered_frozen
1260.0,-23.486237517240678,-25.748238005687185,-21.22423702879417,-33.50006925048384,-33.595489075480245,-33.404649425487435,-29.869287067848134,10.013831733243162,6.383049550607456
1270.0,-23.561808394236966,-25.823808882683473,-21.29980790579046,-33.52888498209206,-33.624304807088464,-33.433465157095654,-29.869287067848134,9.967076587855093,6.307478673611168
1280.0,-23.637379271233257,-25.89937975967976,-21.375378782786754,-33.55770071370028,-33.65312053869668,-33.46228088870387,-29.869287067848134,9.92032144246702,6.231907796614877
1290.0,-23.712950148229545,-25.97495063667605,-21.450949659783042,-33.586516445308504,-33.68193627030491,-33.4910966203121,-29.869287067848134,9.873566297078959,6.156336919618589
1300.0,-23.788521025225833,-26.050521513672336,-21.52652053677933,-33.61533217691672,-33.71075200191313,-33.51991235192032,-29.869287067848134,9.82681115169089,6.080766042622301
1310.0,-23.86409190222212,-26.126092390668624,-21.602091413775618,-33.64414790852494,-33.73956773352135,-33.54872808352854,-29.869287067848134,9.780056006302821,6.005195165626013
1320.0,-23.93966277921841,-26.201663267664912,-21.677662290771906,-33.67296364013316,-33.76838346512957,-33.57754381513676,-29.869287067848134,9.733300860914753,5.929624288629725
1330.0,-24.015233656214697,-26.2772341446612,-21.753233167768194,-33.70177937174138,-33.797199196737786,-33.606359546744976,-29.869287067848134,9.686545715526684,5.854053411633437
1340.0,-24.090804533210985,-26.35280502165749,-21.82880404476448,-33.7305951033496,-33.826014928346005,-33.635175278353195,-29.869287067848134,9.639790570138615,5.778482534637149
1350.0,-24.166375410207277,-26.428375898653783,-21.90437492176077,-33.75941083495782,-33.854830659954224,-33.663991009961414,-29.869287067848134,9.593035424750543,5.702911657640858
1360.0,-24.241946287203564,-26.50394677565007,-21.979945798757058,-33.78822656656604,-33.88364639156244,-33.69280674156963,-29.869287067848134,9.546280279362474,5.62734078064457
1370.0,-24.317517164199856,-26.57951765264636,-22.055516675753353,-33.81704229817426,-33.91246212317066,-33.72162247317785,-29.869287067848134,9.499525133974402,5.551769903648278
1380.0,-24.393088041196144,-26.655088529642647,-22.13108755274964,-33.84585802978248,-33.94127785477888,-33.75043820478607,-29.869287067848134,9.452769988586333,5.47619902665199
1390.0,-24.468658918192432,-26.730659406638935,-22.20665842974593,-33.874673761390696,-33.9700935863871,-33.77925393639429,-29.869287067848134,9.406014843198264,5.400628149655702
1400.0,-24.54422979518872,-26.806230283635223,-22.282229306742217,-33.90348949299892,-33.99890931799533,-33.80806966800252,-29.869287067848134,9.359259697810202,5.325057272659414
1410.0,-24.619800672185008,-26.88180116063151,-22.357800183738505,-33.93230522460714,-34.027725049603546,-33.836885399610736,-29.869287067848134,9.312504552422133,5.249486395663126
1420.0,-24.695371549181296,-26.9573720376278,-22.433371060734792,-33.96112095621536,-34.056540781211766,-33.865701131218955,-29.869287067848134,9.265749407034065,5.173915518666838
1430.0,-24.770942426177584,-27.032942914624087,-22.50894193773108,-33.98993668782358,-34.085356512819985,-33.894516862827174,-29.869287067848134,9.218994261645996,5.0983446416705505
