Pt_X,Pt_Y,Ir_X,Ir_Y,Pd_X,Pd_Y,Rh_X,Rh_Y,Ru_X,Ru_Y,Os_X,Os_Y,Ni_X,Ni_Y,Co_X,Co_Y,Fe_X,Fe_Y,Cr_X,Cr_Y,Re_X,Re_Y,Au_X,Au_Y,Zr_X,Zr_Y,W_X,W_Y,Hf_X,Hf_Y,Mo_X,Mo_Y,Ce_X,Ce_Y,La_X,La_Y,Y_X,Y_Y,Sc_X,Sc_Y
-0.2981,-8.2474,0.9963,-5.6768,2.1418,-4.7051,3.1464,-3.5055,3.7596,-5.3674,5.0581,-5.3813,5.906,-2.9984,6.7367,-2.7433,7.9111,-2.2287,8.7312,-1.1544,9.8335,-5.7,11.3131,-2.749,11.6767,-1.4624,13.3145,-1.7315,14.22,-0.9905,14.9986,-1.2907,16.0821,-3.5313,17.0004,-3.4507,18.2858,-2.6842,19.3308,-2.2115
0.1323,-7.7798,0.8639,-6.915,1.8051,-6.577,2.8235,-5.1801,4.1465,-5.892,5.2114,-4.7992,5.8586,-3.2656,6.9294,-2.8982,8.1227,-2.3062,9.182,-1.3546,10.1858,-5.8943,10.7041,-4.038,11.9237,-1.4433,12.8952,-1.519,13.9192,-0.9902,15.0283,-1.3179,15.8168,-3.1682,16.6872,-2.8832,18.0968,-2.3124,18.9423,-1.7297
0.2509,-6.3634,1.0932,-6.6951,2.1221,-4.8559,3.0868,-3.3086,3.9455,-3.8175,5.1949,-4.3949,6.1327,-3.191,6.7116,-3.528,8.0436,-2.535,8.9046,-0.9491,10.0447,-5.3782,10.9868,-3.5237,12.3481,-1.4911,13.318,-1.4568,14.0738,-1.2488,15.099,-1.2169,15.6835,-3.2497,17.1446,-3.5637,18.0332,-3.0338,18.7816,-2.0385
0.1062,-7.3091,1.3139,-6.0836,1.9618,-6.6218,3.1276,-5.6716,3.8068,-3.6085,5.3294,-6.3303,6.1709,-4.3479,6.9453,-3.0308,7.6965,-2.364,8.9542,-1.0933,10.0761,-5.47,10.8368,-3.2608,11.7281,-1.8076,12.705,-1.8342,14.3352,-1.0898,15.2197,-1.2179,15.9817,-3.283,17.3362,-3.242,18.0615,-1.6612,19.2445,-2.3078
0.1003,-8.633,1.0272,-5.5634,2.1149,-6.7866,3.178,-5.9784,4.3204,-5.1032,5.2328,-4.3376,6.307,-4.3371,7.267,-3.4898,8.0828,-2.0373,9.0853,-1.3554,9.7371,-4.9997,11.1467,-3.5577,12.0729,-1.5908,13.3183,-1.5641,14.3279,-1.1424,14.7557,-1.4578,15.7654,-3.0021,16.9696,-3.0442,17.8859,-2.1494,18.8472,-1.8378
-0.1716,-8.3294,0.8083,-6.8574,2.083,-5.7445,2.7755,-4.4376,3.957,-5.7308,4.9126,-5.1017,6.0961,-3.1785,6.9686,-3.2409,7.793,-2.3537,8.8299,-1.3438,9.9312,-5.75,11.1207,-4.1779,11.6747,-1.5306,12.7076,-2.0017,13.9161,-1.3737,15.3183,-1.2201,15.8718,-3.2188,16.8681,-2.5478,18.1054,-2.2253,19.0353,-1.6483
-0.2094,-5.7104,0.9631,-5.6781,1.9842,-5.5387,3.204,-4.2648,3.7174,-5.7349,4.9682,-5.0962,5.764,-2.8227,6.6661,-3.9897,7.6555,-2.28,9.1198,-1.4878,10.1417,-4.0516,10.9044,-4.2403,11.6502,-1.3097,13.1691,-1.4965,13.9266,-0.966,14.8586,-1.2574,15.7428,-2.2011,17.1848,-2.2814,17.7828,-2.1283,18.9582,-2.2126
-0.3138,-6.0576,0.8165,-6.6131,2.2394,-5.155,3.2288,-5.4909,4.084,-4.4487,4.9139,-6.3343,5.7133,-3.7771,7.2642,-2.3287,8.2667,-2.5776,8.7301,-1.3289,10.057,-5.3401,11.3341,-3.3925,12.3318,-1.4564,13.2826,-1.6521,13.7549,-1.0786,14.9866,-1.5806,15.9043,-2.8744,16.7537,-3.2235,17.9895,-2.0737,19.1408,-2.2273
-0.345,-6.3642,0.9644,-5.0055,1.7838,-7.1804,2.6844,-4.8467,4.1813,-4.5139,5.2668,-5.4591,6.0393,-3.5484,6.7106,-3.604,8.2189,-2.2685,9.0373,-1.2786,10.228,-6.0255,11.2015,-3.319,12.3171,-1.3749,12.7238,-1.7395,13.9085,-1.0199,15.306,-1.4436,16.2337,-3.0435,16.9531,-3.5245,17.9314,-2.7785,19.3154,-2.6149
-0.1846,-8.7619,0.8549,-4.8507,2.0946,-6.3355,2.8946,-5.3139,3.657,-4.3206,5.0052,-5.5117,6.1104,-3.4778,7.2159,-3.1798,8.2569,-2.2994,8.7442,-1.4453,10.0747,-5.8566,10.8417,-4.0705,11.8792,-1.5098,12.8534,-1.8883,14.1223,-1.1404,14.7913,-1.2855,16.3019,-3.7278,16.9355,-3.5678,18.3077,-2.1909,18.889,-2.1183
0.2933,-7.6169,0.9158,-6.1136,2.0819,-5.6486,2.7324,-5.0725,4.321,-6.0486,5.2053,-5.5846,6.1653,-3.8307,6.7631,-3.3578,7.7194,-2.1835,8.9413,-1.3097,9.7891,-4.3985,11.1665,-3.6234,12.2468,-1.6144,13.0359,-1.5313,14.0705,-1.1135,14.8516,-1.0314,16.0072,-3.2811,17.3099,-3.8196,18.125,-2.1242,19.2447,-1.9284
0.3043,-6.3983,0.9816,-6.0317,1.7657,-5.1501,3.2916,-5.7816,4.1145,-3.8507,4.9243,-6.1649,5.7902,-2.7693,6.9814,-4.0264,7.8423,-2.3835,9.2611,-1.2914,9.9223,-5.0397,10.7303,-3.4351,11.9684,-1.3405,13.065,-1.8265,14.0209,-1.2425,14.7743,-1.4531,15.6675,-3.0507,16.7328,-3.0911,17.8181,-2.5911,18.9312,-1.9632
-0.1758,-8.416,1.0884,-7.0993,2.3284,-6.5741,3.1337,-4.9764,3.8051,-4.1928,5.2273,-4.9111,6.071,-2.6918,7.1857,-2.8165,8.1857,-2.1687,8.8448,-1.1961,9.8345,-5.7255,10.9184,-3.7346,11.8195,-1.4266,12.8963,-1.8807,14.1292,-0.8047,15.0242,-1.1662,16.1,-3.071,17.0675,-3.3007,17.9066,-2.2289,18.7734,-1.8089
0.3424,-6.8975,1.036,-4.958,2.3039,-5.0299,2.9517,-5.3589,3.8165,-4.9101,5.1619,-5.1395,6.2409,-3.8856,7.1443,-2.4948,7.8677,-2.2353,9.1901,-0.9857,10.2575,-5.3648,11.2723,-3.6246,11.8159,-1.7605,12.7687,-1.9549,14.0601,-1.0182,15.256,-1.272,15.9909,-3.548,17.0393,-2.9289,17.8271,-2.5364,19.0342,-1.9401
-0.2471,-6.6118,0.9773,-5.3341,1.852,-5.4542,2.6715,-6.0192,4.0143,-5.6573,4.7045,-5.0359,6.2315,-2.7159,6.824,-3.2522,7.823,-2.2632,8.7195,-1.36,10.0133,-4.5413,11.2365,-3.4856,11.696,-1.4808,13.2781,-1.6198,13.974,-0.9932,14.7728,-1.362,15.8643,-3.3194,16.8951,-2.6566,17.9901,-2.631,19.2345,-2.3273
-0.2792,-7.0635,1.2783,-7.001,1.8071,-5.2861,2.9536,-4.8302,4.077,-4.3009,4.9737,-4.9272,5.8014,-3.4342,6.804,-2.9795,7.979,-1.8258,8.8741,-1.261,9.851,-5.2468,10.6779,-3.5064,12.2337,-1.6291,13.1027,-1.6048,14.3028,-1.1823,15.0709,-1.1883,16.0105,-2.9153,17.2164,-3.8797,18.1529,-2.2522,19.2644,-2.4521
-0.1424,-6.828,0.9922,-5.6422,2.3061,-5.9486,2.6796,-5.309,3.8913,-5.0671,5.0878,-3.3342,5.6828,-4.1385,7.1102,-2.9054,7.8547,-1.8985,8.661,-1.1178,10.1819,-5.932,11.0735,-2.9418,12.3488,-1.2968,12.9432,-1.6574,13.9339,-1.2284,14.9832,-1.2909,15.7859,-2.6313,17.1488,-3.3674,17.7321,-2.2513,18.7417,-2.6511
